event_ticker,series_ticker,title,sub_title,status,event_date,away_team,home_team
KXNBAGAME-25NOV22NYKORL,KXNBAGAME,New York K vs Orlando,NYK at ORL (Nov 22),,2025-11-22,NYK,ORL
KXNBAGAME-25NOV22LACCHA,KXNBAGAME,Los Angeles C vs Charlotte,LAC at CHA (Nov 22),,2025-11-22,LAC,CHA
KXNBAGAME-25NOV21PORGSW,KXNBAGAME,Portland vs Golden State,POR at GSW (Nov 21),,2025-11-21,POR,GSW
KXNBAGAME-25NOV21OKCUTA,KXNBAGAME,Oklahoma City vs Utah,OKC at UTA (Nov 21),,2025-11-21,OKC,UTA
KXNBAGAME-25NOV21DENHOU,KXNBAGAME,Denver vs Houston,DEN at HOU (Nov 21),,2025-11-21,DEN,HOU
KXNBAGAME-25NOV21MINPHX,KXNBAGAME,Minnesota vs Phoenix,MIN at PHX (Nov 21),,2025-11-21,MIN,PHX
KXNBAGAME-25NOV21NOPDAL,KXNBAGAME,New Orleans vs Dallas,NOP at DAL (Nov 21),,2025-11-21,NOP,DAL
KXNBAGAME-25NOV21MIACHI,KXNBAGAME,Miami vs Chicago,MIA at CHI (Nov 21),,2025-11-21,MIA,CHI
KXNBAGAME-25NOV21WASTOR,KXNBAGAME,Washington vs Toronto,WAS at TOR (Nov 21),,2025-11-21,WAS,TOR
KXNBAGAME-25NOV21BKNBOS,KXNBAGAME,Brooklyn vs Boston,BKN at BOS (Nov 21),,2025-11-21,BKN,BOS
KXNBAGAME-25NOV21INDCLE,KXNBAGAME,Indiana vs Cleveland,IND at CLE (Nov 21),,2025-11-21,IND,CLE
KXNBAGAME-25NOV20SACMEM,KXNBAGAME,Sacramento vs Memphis,SAC at MEM (Nov 20),,2025-11-20,SAC,MEM
KXNBAGAME-25NOV20PHIMIL,KXNBAGAME,Philadelphia vs Milwaukee,PHI at MIL (Nov 20),,2025-11-20,PHI,MIL
KXNBAGAME-25NOV20ATLSAS,KXNBAGAME,Atlanta vs San Antonio,ATL at SAS (Nov 20),,2025-11-20,ATL,SAS
KXNBAGAME-25NOV20LACORL,KXNBAGAME,Los Angeles C vs Orlando,LAC at ORL (Nov 20),,2025-11-20,LAC,ORL
KXNBAGAME-25NOV19CHIPOR,KXNBAGAME,Chicago vs Portland,CHI at POR (Nov 19),,2025-11-19,CHI,POR
KXNBAGAME-25NOV19NYKDAL,KXNBAGAME,New York K vs Dallas,NYK at DAL (Nov 19),,2025-11-19,NYK,DAL
KXNBAGAME-25NOV19WASMIN,KXNBAGAME,Washington vs Minnesota,WAS at MIN (Nov 19),,2025-11-19,WAS,MIN
KXNBAGAME-25NOV19SACOKC,KXNBAGAME,Sacramento vs Oklahoma City,SAC at OKC (Nov 19),,2025-11-19,SAC,OKC
KXNBAGAME-25NOV19DENNOP,KXNBAGAME,Denver vs New Orleans,DEN at NOP (Nov 19),,2025-11-19,DEN,NOP
KXNBAGAME-25NOV19GSWMIA,KXNBAGAME,Golden State vs Miami,GSW at MIA (Nov 19),,2025-11-19,GSW,MIA
KXNBAGAME-25NOV19TORPHI,KXNBAGAME,Toronto vs Philadelphia,TOR at PHI (Nov 19),,2025-11-19,TOR,PHI
KXNBAGAME-25NOV19HOUCLE,KXNBAGAME,Houston vs Cleveland,HOU at CLE (Nov 19),,2025-11-19,HOU,CLE
KXNBAGAME-25NOV19CHAIND,KXNBAGAME,Charlotte vs Indiana,CHA at IND (Nov 19),,2025-11-19,CHA,IND
KXNBAGAME-25NOV18PHXPOR,KXNBAGAME,Phoenix vs Portland,PHX at POR (Nov 18),,2025-11-18,PHX,POR
KXNBAGAME-25NOV18UTALAL,KXNBAGAME,Utah vs Los Angeles L,UTA at LAL (Nov 18),,2025-11-18,UTA,LAL
KXNBAGAME-25NOV18MEMSAS,KXNBAGAME,Memphis vs San Antonio,MEM at SAS (Nov 18),,2025-11-18,MEM,SAS
KXNBAGAME-25NOV18DETATL,KXNBAGAME,Detroit vs Atlanta,DET at ATL (Nov 18),,2025-11-18,DET,ATL
KXNBAGAME-25NOV18BOSBKN,KXNBAGAME,Boston vs Brooklyn,BOS at BKN (Nov 18),,2025-11-18,BOS,BKN
KXNBAGAME-25NOV18GSWORL,KXNBAGAME,Golden State vs Orlando,GSW at ORL (Nov 18),,2025-11-18,GSW,ORL
KXNBAGAME-25NOV17CHIDEN,KXNBAGAME,Chicago vs Denver,CHI at DEN (Nov 17),,2025-11-17,CHI,DEN
KXNBAGAME-25NOV17OKCNOP,KXNBAGAME,Oklahoma City vs New Orleans,OKC at NOP (Nov 17),,2025-11-17,OKC,NOP
